id,desc,memo,ship_skin_id,draw_able_name,parameter,mode,start_value,range,parts_data,ignore_react,react_condition,ignore_action,range_abs,drag_direct,react_pos_x,react_pos_y,offset_circle,offset_x,offset_y,smooth,revert_smooth,revert,save_parameter,revert_action_index,revert_idle_index,gyro,gyro_x,gyro_y,gyro_z,limit_time,listener_data,action_trigger,action_trigger_active,shop_action,relation_parameter
int,varchar,varchar,int,varchar,varchar,int,int,varchar,varchar,int,varchar,int,int,int,int,int,varchar,int,int,int,int,int,int,int,varchar,int,int,int,int,int,varchar,varchar,varchar,int,varchar
c,n,n,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
拖拽标识id,标注,备注,绑定的舰船id（不填代表不绑定某个舰船,拖拽碰撞框名称(如果使用陀螺仪则无需配置,控制的parameter对象,1:覆盖2:叠加3:乘算,拖拽功能按下的时候初始参数,参数范围,数值吸附范围,屏蔽目光跟随,自定义目光屏蔽开关,非待机状态下不可以拖动,"使用绝对值(range = {0,x}的时候使用","方向响应(0不适用,1:只响应正向，2:只响应负向",眼神跟随x轴方向,眼神跟随y轴方向,特殊的顺时针或者逆时针,左右移动影响拖拽行为（与offset_y互斥,上下移动影响拖拽行为（与offset_x互斥,开始拖拽响应系数(越小越快,回弹拖拽响应系数(越小越快,结束拖拽后多久回弹,跟revert配合使用，-1则不会去保存数据,当动作队列指针变化后，是否回复初始值,当待机状态变化后，是否回复初始值,"陀螺仪控制（1启动，0禁用）与offset_x,offset_y互斥",使用陀螺仪x轴控制,使用陀螺仪y轴控制,使用陀螺仪z轴控制,触发间隔(不填写使用默认值4秒),监听参数,"拖拽或者触发事件,type类型后续补在wiki",状态激活后会进行的操作,该互动是否在商店预览中可用（默认0不可用）,关联多个参数设置
40407101,,zengkehaijunshangjiang_2,404071,TouchIdle1,empty,1,0,"{0,1}",,1,{idle_on={0}},1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle1'}","{enable = {'touch_idle','touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 1}",,
40407102,,zengkehaijunshangjiang_2,404071,TouchDrag2,touch_drag2,1,0,"{0,10}","{parts={0,2.5,4,5.5,7,8.5,10}}",1,,1,1,1,,,,0,-80,100,100,-1,,,,0,0,0,0,1,,,,,
40407103,,zengkehaijunshangjiang_2,404071,TouchDrag14,touch_drag14,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,0.5,,"{type = 2,target = 1,circle = true}",,,
40407104,,zengkehaijunshangjiang_2,404071,TouchDrag11,touch_drag11,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,0.5,,"{type = 2,target = 1,circle = true}",,,
40407105,,zengkehaijunshangjiang_2,404071,TouchDrag12,touch_drag12,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,0.5,"{type=1,change={{2,{'touch_idle6','touch_idle8'},0}}}","{type = 2,target = 1,circle = true}",,,
40407106,,zengkehaijunshangjiang_2,404071,TouchDrag13,touch_drag13,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,0.5,,"{type = 2,target = 1,circle = true}",,,
40407107,准星XY组合拖拽,zengkehaijunshangjiang_2,404071,TouchDrag15,,2,0,"{0,1}",,1,,1,0,0,,,,85,100,100,100,-1,,,,0,0,0,0,,,,,0,"{list={{name='touch_drag7',type=101},{name='touch_drag8',type=102}}}"
